Tm,tGP,tG,tA,tPTS,tPIM,evenG,ppg,shg,evenA,ppa,sha,tS,tS%,tTOI,tATOI,tBLK,tHIT,tFOW,tFOL,tFO%,tppg%,W,L,OL,TM_PTS,DIV,PLAYOFF,Color
ANA,1475,196,326,522,716,155,36,5,248,71,7,2271,0.08630559225011009,24268,16.452881355932202,1196,1899,2394,2268,0.5135135135135135,0.1836734693877551,35,37,10,80,PAC,n,#F47A38
ARI,1476,209,325,534,553,151,42,16,234,76,15,2522,0.08287073750991276,24374,16.513550135501355,1298,2028,2307,2511,0.4788293897882939,0.20095693779904306,39,35,8,86,PAC,n,#8C2633
BOS,1476,257,436,693,779,185,65,7,304,122,10,2680,0.0958955223880597,24361,16.504742547425476,1050,1876,2454,2385,0.5071295722256665,0.2529182879377432,49,24,9,107,ATL,y,#FFB81C
BUF,1476,221,376,597,560,172,46,3,281,90,5,2697,0.08194289951798295,24469,16.57791327913279,1003,1565,2334,2538,0.479064039408867,0.2081447963800905,33,39,10,76,ATL,n,#002654
CAR,1476,243,398,641,598,191,44,8,310,80,8,2821,0.08613966678482808,24290,16.456639566395665,1044,2073,2436,2532,0.49033816425120774,0.18106995884773663,46,29,7,99,MET,y,#CC0000
CBJ,1476,256,415,671,496,214,34,8,344,64,7,2592,0.09876543209876543,24347,16.495257452574524,1076,1741,2434,2410,0.5024772914946325,0.1328125,47,31,4,98,MET,y,#002654
CGY,1476,289,502,791,671,218,53,18,382,104,16,2656,0.10881024096385543,24257,16.43428184281843,1033,1232,2490,2265,0.5236593059936908,0.18339100346020762,50,25,7,107,PAC,y,#C8102E
CHI,1476,267,458,725,576,213,48,6,367,87,4,2669,0.10003746721618584,24403,16.53319783197832,1115,1350,2356,2404,0.49495798319327733,0.1797752808988764,36,34,12,84,CEN,n,#CF0A2C
COL,1476,258,429,687,740,186,63,9,303,120,6,2676,0.09641255605381166,24285,16.453252032520325,1324,1699,2346,2529,0.48123076923076924,0.2441860465116279,38,30,14,90,CEN,y,#6F263D
DAL,1476,209,355,564,611,160,45,4,266,85,4,2519,0.08296943231441048,24322,16.478319783197833,1291,1820,2529,2346,0.5187692307692308,0.215311004784689,43,32,7,93,CEN,y,#006847
DET,1476,224,378,602,623,178,39,7,297,72,9,2393,0.09360635185959047,24437,16.556233062330623,1103,1749,2568,2490,0.5077105575326216,0.17410714285714285,32,40,10,74,ATL,n,#CE1126
EDM,1476,229,383,612,734,172,47,10,284,90,9,2392,0.09573578595317726,24323,16.4789972899729,1174,2192,2327,2483,0.4837837837837838,0.2052401746724891,35,38,9,79,PAC,n,#041E42
FLA,1476,264,455,719,676,189,72,3,310,140,5,2705,0.09759704251386321,24459,16.571138211382113,1138,1901,2527,2545,0.4982255520504732,0.2727272727272727,36,32,14,86,ATL,n,#B9975B
LAK,1476,199,323,522,641,160,35,4,253,67,3,2358,0.08439355385920272,24402,16.53252032520325,1170,1907,2410,2366,0.5046063651591289,0.17587939698492464,31,42,9,71,PAC,n,#111111
MIN,1476,210,357,567,620,156,49,5,255,94,8,2567,0.08180755746007012,24319,16.476287262872628,1221,1602,2404,2465,0.4937358800575067,0.23333333333333334,37,36,9,83,CEN,n,#154734
MTL,1476,246,422,668,660,210,31,5,357,60,5,2796,0.08798283261802575,24289,16.455962059620596,1170,2203,2437,2495,0.49412003244120034,0.12601626016260162,44,30,8,96,ATL,n,#AF1E2D
NJD,1476,219,355,574,723,164,45,10,261,85,9,2488,0.0880225080385852,24333,16.485772357723576,1158,1924,2418,2482,0.493469387755102,0.2054794520547945,31,41,10,72,MET,n,#000000
NSH,1476,236,385,621,652,195,33,8,314,64,7,2677,0.08815838625326858,24307,16.468157181571815,1079,1492,2537,2385,0.5154408776919951,0.13983050847457626,47,29,6,100,CEN,y,#FFB81C
NYI,1476,223,370,593,626,184,33,6,298,66,6,2360,0.09449152542372881,24409,16.537262872628727,1295,2031,2124,2353,0.47442483806120167,0.14798206278026907,48,27,7,103,MET,y,#00539B
NYR,1476,221,367,588,822,170,44,7,275,83,9,2393,0.09235269536147096,24362,16.505420054200542,1213,2128,2187,2475,0.4691119691119691,0.19909502262443438,32,36,14,78,MET,n,#0038A8
OTT,1476,242,418,660,687,192,46,4,325,89,4,2429,0.09962947715109098,24294,16.459349593495936,1381,1782,2387,2428,0.495742471443406,0.19008264462809918,29,47,6,64,ATL,n,#C2912C
PHI,1476,241,418,659,711,197,40,4,339,75,4,2583,0.09330236159504453,24314,16.47289972899729,1277,1755,2637,2180,0.547436163587295,0.16597510373443983,37,37,8,82,MET,n,#F74902
PIT,1476,271,459,730,655,203,56,12,333,108,18,2731,0.09923105089710729,24377,16.51558265582656,1229,2363,2482,2425,0.5058080293458325,0.2066420664206642,44,26,12,100,MET,y,#FCB514
SJS,1476,289,503,792,721,223,57,9,385,110,8,2708,0.10672082717872969,24315,16.473577235772357,1077,1574,2376,2346,0.5031766200762389,0.1972318339100346,46,27,9,101,PAC,y,#006D75
STL,1476,244,416,660,595,189,50,5,319,89,8,2604,0.09370199692780339,24371,16.511517615176153,1138,1615,2450,2317,0.5139500734214391,0.20491803278688525,45,28,9,99,CEN,y,#002F87
TBL,1476,319,543,862,753,233,74,12,393,139,11,2620,0.1217557251908397,24276,16.447154471544714,1125,2115,2520,2401,0.5120910384068279,0.23197492163009403,62,16,4,128,ATL,y,#002868
TOR,1476,286,479,765,479,235,46,5,383,90,6,2736,0.10453216374269006,24371,16.511517615176153,1113,1421,2629,2330,0.5301472070982053,0.16083916083916083,46,28,8,100,ATL,y,#00205B
VAN,1476,219,352,571,713,169,43,7,266,81,5,2433,0.09001233045622688,24439,16.55758807588076,1233,1798,2404,2453,0.49495573399217624,0.1963470319634703,35,36,11,81,PAC,n,#00843D
VEG,1476,246,393,639,565,196,39,11,307,75,11,2814,0.08742004264392324,24326,16.481029810298104,1118,2268,2480,2441,0.5039626092257671,0.15853658536585366,43,32,7,93,PAC,y,#B4975A
WPG,1476,270,455,725,741,198,62,10,326,115,14,2557,0.10559249120062573,24292,16.4579945799458,1187,1841,2463,2396,0.5068944227207244,0.22962962962962963,47,30,5,99,CEN,y,#004C97
WSH,1476,274,475,749,708,220,49,5,377,94,4,2492,0.10995184590690209,24326,16.481029810298104,1234,1885,2160,2563,0.4573364387042134,0.17883211678832117,48,26,8,104,MET,y,#041E42
